,original prompts,pos tagged prompt
11,Covid-19 Vaccine Concerns Raised By Residents Addressed By MP,"[('covid-19', 'JJ'), ('vaccine', 'NN'), ('concerns', 'NNS'), ('raised', 'VBN'), ('by', 'IN'), ('residents', 'NNS'), ('addressed', 'VBN'), ('by', 'IN'), ('mp', 'NN')]"
12,33 Amazing South African Interior Designers Images African,"[('33', 'CD'), ('amazing', 'JJ'), ('south', 'JJ'), ('african', 'JJ'), ('interior', 'NN'), ('designers', 'NNS'), ('images', 'NNS'), ('african', 'VBP')]"
13,A Purple and Fuchsia Modern Glam Winery Wedding | Blueberry Phot,"[('a', 'DT'), ('purple', 'NN'), ('and', 'CC'), ('fuchsia', 'NN'), ('modern', 'JJ'), ('glam', 'NN'), ('winery', 'NN'), ('wedding', 'VBG'), ('|', 'NN'), ('blueberry', 'NN'), ('phot', 'NN')]"
14,🆕 Cute Earrings,"[('🆕', 'JJ'), ('cute', 'NN'), ('earrings', 'NNS')]"
15,Bayonetta & Vanquish 10th Anniversary Bundle... on Xbox One,"[('bayonetta', 'NN'), ('&', 'CC'), ('vanquish', 'JJ'), ('10th', 'JJ'), ('anniversary', 'JJ'), ('bundle', 'NN'), ('...', ':'), ('on', 'IN'), ('xbox', 'IN'), ('one', 'CD')]"
16,Storage Utility Shed/Building Plans #10808,"[('storage', 'NN'), ('utility', 'NN'), ('shed/building', 'VBG'), ('plans', 'NNS'), ('#', '#'), ('10808', 'CD')]"
17,JW Photography Wall Clock,"[('jw', 'NN'), ('photography', 'NN'), ('wall', 'NN'), ('clock', 'NN')]"
18,Greeting Card featuring the digital art Making Music by Guitar Wacky,"[('greeting', 'VBG'), ('card', 'NN'), ('featuring', 'VBG'), ('the', 'DT'), ('digital', 'JJ'), ('art', 'NN'), ('making', 'VBG'), ('music', 'NN'), ('by', 'IN'), ('guitar', 'NN'), ('wacky', 'NN')]"
19,FOR PICK UP ONLY HBF poly-down Pillow Insert - 16,"[('for', 'IN'), ('pick', 'NN'), ('up', 'RP'), ('only', 'RB'), ('hbf', 'JJ'), ('poly-down', 'JJ'), ('pillow', 'NN'), ('insert', 'NN'), ('-', ':'), ('16', 'CD')]"
20,Black panther premiere Melbourne Described as 'nothing but empowering' the event was a celebration of cultural diversity.,"[('black', 'JJ'), ('panther', 'NN'), ('premiere', 'JJ'), ('melbourne', 'JJ'), ('described', 'VBN'), ('as', 'IN'), (""'nothing"", 'VBG'), ('but', 'CC'), ('empowering', 'VBG'), (""'"", ""''""), ('the', 'DT'), ('event', 'NN'), ('was', 'VBD'), ('a', 'DT'), ('celebration', 'NN'), ('of', 'IN'), ('cultural', 'JJ'), ('diversity', 'NN'), ('.', '.')]"
21,Monday clear Trainer black Legend white Sports Nike Grey Performance Shoes Emerald Cyber qaYp14A,"[('monday', 'NN'), ('clear', 'JJ'), ('trainer', 'NN'), ('black', 'JJ'), ('legend', 'JJ'), ('white', 'JJ'), ('sports', 'NNS'), ('nike', 'IN'), ('grey', 'JJ'), ('performance', 'NN'), ('shoes', 'NNS'), ('emerald', 'VBP'), ('cyber', 'VB'), ('qayp14a', 'NN')]"
22,Beyond the Winning Streak Using Conscious Creation to Consistently Win at Life,"[('beyond', 'IN'), ('the', 'DT'), ('winning', 'VBG'), ('streak', 'NN'), ('using', 'VBG'), ('conscious', 'JJ'), ('creation', 'NN'), ('to', 'TO'), ('consistently', 'RB'), ('win', 'VB'), ('at', 'IN'), ('life', 'NN')]"
23,Origine Tea Cup and Saucer,"[('origine', 'JJ'), ('tea', 'NN'), ('cup', 'NN'), ('and', 'CC'), ('saucer', 'NN')]"
24,Washed Hats-Olive,"[('washed', 'VBN'), ('hats-olive', 'JJ')]"
25,"2013 Audi A4 for sale at North Atlanta Auto Gallery, Inc in Alpharetta GA","[('2013', 'CD'), ('audi', 'NN'), ('a4', 'NN'), ('for', 'IN'), ('sale', 'NN'), ('at', 'IN'), ('north', 'JJ'), ('atlanta', 'JJ'), ('auto', 'NN'), ('gallery', 'NN'), (',', ','), ('inc', 'NN'), ('in', 'IN'), ('alpharetta', 'NN'), ('ga', 'NN')]"
26,Modern Dining Room Sets For 6 Furniture Modern Dining Room Furniture Mississauga Ontario Patio,"[('modern', 'JJ'), ('dining', 'VBG'), ('room', 'NN'), ('sets', 'NNS'), ('for', 'IN'), ('6', 'CD'), ('furniture', 'NN'), ('modern', 'JJ'), ('dining', 'NN'), ('room', 'NN'), ('furniture', 'NN'), ('mississauga', 'NN'), ('ontario', 'NN'), ('patio', 'NN')]"
27,Dirty Wives Club 03,"[('dirty', 'JJ'), ('wives', 'NNS'), ('club', 'VBP'), ('03', 'CD')]"
28,"Mayor Sylvester Turner speaks at the Microsoft IoT in Action Solution Builder Conference Tuesday, April 16, 2019, in Houston.","[('mayor', 'NN'), ('sylvester', 'NN'), ('turner', 'NN'), ('speaks', 'NNS'), ('at', 'IN'), ('the', 'DT'), ('microsoft', 'JJ'), ('iot', 'NN'), ('in', 'IN'), ('action', 'NN'), ('solution', 'NN'), ('builder', 'NN'), ('conference', 'NN'), ('tuesday', 'NN'), (',', ','), ('april', 'RB'), ('16', 'CD'), (',', ','), ('2019', 'CD'), (',', ','), ('in', 'IN'), ('houston', 'NN'), ('.', '.')]"
29,1530mm nylofor 3d wire mesh fence panels ral 6005 pvc for 3d fence,"[('1530mm', 'CD'), ('nylofor', 'JJ'), ('3d', 'CD'), ('wire', 'NN'), ('mesh', 'JJ'), ('fence', 'NN'), ('panels', 'NNS'), ('ral', 'JJ'), ('6005', 'CD'), ('pvc', 'NN'), ('for', 'IN'), ('3d', 'CD'), ('fence', 'NN')]"
30,Basketball Double-Header: Loughborough Riders Men & Leicester Riders Women tickets,"[('basketball', 'NN'), ('double-header', 'NN'), (':', ':'), ('loughborough', 'JJ'), ('riders', 'NNS'), ('men', 'NNS'), ('&', 'CC'), ('leicester', 'NN'), ('riders', 'NNS'), ('women', 'NNS'), ('tickets', 'NNS')]"
31,Stuart Weitzman 75NUDISTTRADITIONAL Night Time Naked Sandals,"[('stuart', 'JJ'), ('weitzman', 'NN'), ('75nudisttraditional', 'CD'), ('night', 'NN'), ('time', 'NN'), ('naked', 'JJ'), ('sandals', 'NNS')]"
32,Citigems 18K Elistar Diamond Ring,"[('citigems', 'NNS'), ('18k', 'CD'), ('elistar', 'JJ'), ('diamond', 'NN'), ('ring', 'NN')]"
33,b8e73788f9 339 Best ray ban highstreet images,"[('b8e73788f9', 'RB'), ('339', 'CD'), ('best', 'JJS'), ('ray', 'NN'), ('ban', 'NN'), ('highstreet', 'NN'), ('images', 'NNS')]"
34, Scooby Doo Toddler / Child Costume,"[('scooby', 'NN'), ('doo', 'NN'), ('toddler', 'NN'), ('/', 'NNP'), ('child', 'NN'), ('costume', 'NN')]"
35,happy independence day india map flags candle ornaments vector illustration Ilustracja,"[('happy', 'JJ'), ('independence', 'NN'), ('day', 'NN'), ('india', 'VB'), ('map', 'NN'), ('flags', 'NNS'), ('candle', 'JJ'), ('ornaments', 'NNS'), ('vector', 'JJ'), ('illustration', 'NN'), ('ilustracja', 'NN')]"
36,"Kea biting controller with Spy Kea in foreground, New Zealand. © BBC/John Downer Productions/Matthew Goodman","[('kea', 'NN'), ('biting', 'VBG'), ('controller', 'NN'), ('with', 'IN'), ('spy', 'JJ'), ('kea', 'NN'), ('in', 'IN'), ('foreground', 'NN'), (',', ','), ('new', 'JJ'), ('zealand', 'NN'), ('.', '.'), ('©', 'CC'), ('bbc/john', 'JJ'), ('downer', 'NN'), ('productions/matthew', 'NN'), ('goodman', 'NN')]"
37,Women Double Beads Bracelet Fashion Simple Gold Color Pendant Jewelry,"[('women', 'NNS'), ('double', 'JJ'), ('beads', 'NNS'), ('bracelet', 'VB'), ('fashion', 'NN'), ('simple', 'JJ'), ('gold', 'NN'), ('color', 'NN'), ('pendant', 'JJ'), ('jewelry', 'NN')]"
38,"761 S 9th Street UNIT 3 Philadelphia, PA 19147","[('761', 'CD'), ('s', 'JJ'), ('9th', 'CD'), ('street', 'NN'), ('unit', 'NN'), ('3', 'CD'), ('philadelphia', 'NN'), (',', ','), ('pa', 'VBZ'), ('19147', 'CD')]"
39,Sassy Bear  Long Sleeve Tee,"[('sassy', 'JJ'), ('bear', 'NN'), ('long', 'RB'), ('sleeve', 'JJ'), ('tee', 'NN')]"
40,10 Terrifying Comic Supervillains That Gave You Nightmares,"[('10', 'CD'), ('terrifying', 'VBG'), ('comic', 'JJ'), ('supervillains', 'NNS'), ('that', 'WDT'), ('gave', 'VBD'), ('you', 'PRP'), ('nightmares', 'NNS')]"
41,Children lunch bag fashion Avengers League cartoon printing thermo food insulated bag casual travel picnic bag thermal lunch box,"[('children', 'NNS'), ('lunch', 'NN'), ('bag', 'NN'), ('fashion', 'NN'), ('avengers', 'NNS'), ('league', 'VBP'), ('cartoon', 'NN'), ('printing', 'NN'), ('thermo', 'NN'), ('food', 'NN'), ('insulated', 'VBN'), ('bag', 'NN'), ('casual', 'JJ'), ('travel', 'NN'), ('picnic', 'JJ'), ('bag', 'NN'), ('thermal', 'JJ'), ('lunch', 'NN'), ('box', 'NN')]"
42,Slow Motion Butterfly Owl Caligo Eurilochus perched on leaf n flying around - stock footage,"[('slow', 'JJ'), ('motion', 'NN'), ('butterfly', 'NN'), ('owl', 'NN'), ('caligo', 'NN'), ('eurilochus', 'RB'), ('perched', 'VBN'), ('on', 'IN'), ('leaf', 'NN'), ('n', 'NN'), ('flying', 'VBG'), ('around', 'IN'), ('-', ':'), ('stock', 'NN'), ('footage', 'NN')]"
43,The picturesque landscape of the night city and the river with the reflections of tall houses on the water against - Stock Image,"[('the', 'DT'), ('picturesque', 'NN'), ('landscape', 'NN'), ('of', 'IN'), ('the', 'DT'), ('night', 'NN'), ('city', 'NN'), ('and', 'CC'), ('the', 'DT'), ('river', 'NN'), ('with', 'IN'), ('the', 'DT'), ('reflections', 'NNS'), ('of', 'IN'), ('tall', 'JJ'), ('houses', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('water', 'NN'), ('against', 'IN'), ('-', ':'), ('stock', 'NN'), ('image', 'NN')]"
44,Stock Photo: Passports,"[('stock', 'NN'), ('photo', 'NN'), (':', ':'), ('passports', 'NNS')]"
45,Beautiful Calming Paint Colors For Bedrooms,"[('beautiful', 'JJ'), ('calming', 'VBG'), ('paint', 'NN'), ('colors', 'NNS'), ('for', 'IN'), ('bedrooms', 'NNS')]"
46,Black Long Sleeves Lace-up Design Hoodie,"[('black', 'JJ'), ('long', 'JJ'), ('sleeves', 'NNS'), ('lace-up', 'JJ'), ('design', 'NN'), ('hoodie', 'NN')]"
47,"Zhangjiajie, China, 2018","[('zhangjiajie', 'NN'), (',', ','), ('china', 'NN'), (',', ','), ('2018', 'CD')]"
48,"Life, The Universe And Everything (1417618167) by Adams, Douglas","[('life', 'NN'), (',', ','), ('the', 'DT'), ('universe', 'NN'), ('and', 'CC'), ('everything', 'NN'), ('(', '('), ('1417618167', 'CD'), (')', ')'), ('by', 'IN'), ('adams', 'NN'), (',', ','), ('douglas', 'NN')]"
49,"""""""""""""""LEMONS"""""""" by franceee ❤ liked on Polyvore featuring Michael Kors, Alice + Olivia, Casetify, Kate Spade, Chinese Laundry and Universal Lighting and Decor""""""","[('``', '``'), ('``', '``'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), ('lemons', 'NNS'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), ('by', 'IN'), ('franceee', 'JJ'), ('❤', 'NNP'), ('liked', 'VBD'), ('on', 'IN'), ('polyvore', 'NN'), ('featuring', 'VBG'), ('michael', 'JJ'), ('kors', 'NNS'), (',', ','), ('alice', 'NN'), ('+', 'NNP'), ('olivia', 'NN'), (',', ','), ('casetify', 'NN'), (',', ','), ('kate', 'NN'), ('spade', 'NN'), (',', ','), ('chinese', 'JJ'), ('laundry', 'NN'), ('and', 'CC'), ('universal', 'JJ'), ('lighting', 'NN'), ('and', 'CC'), ('decor', 'NN'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''"")]"
50,Sysoft Years Badge,"[('sysoft', 'JJ'), ('years', 'NNS'), ('badge', 'VBP')]"
51,Essay linking words introduction,"[('essay', 'NN'), ('linking', 'VBG'), ('words', 'NNS'), ('introduction', 'NN')]"
52,Cats On Strike Edit 3 by Leah Saulnier The Painting Maniac,"[('cats', 'NNS'), ('on', 'IN'), ('strike', 'NN'), ('edit', 'NN'), ('3', 'CD'), ('by', 'IN'), ('leah', 'NN'), ('saulnier', 'PDT'), ('the', 'DT'), ('painting', 'NN'), ('maniac', 'NN')]"
53,The article as it originally appeared.,"[('the', 'DT'), ('article', 'NN'), ('as', 'IN'), ('it', 'PRP'), ('originally', 'RB'), ('appeared', 'VBD'), ('.', '.')]"
54,Yin and Yang,"[('yin', 'NN'), ('and', 'CC'), ('yang', 'NN')]"
55,A large black and white checker floor,"[('a', 'DT'), ('large', 'JJ'), ('black', 'JJ'), ('and', 'CC'), ('white', 'JJ'), ('checker', 'NN'), ('floor', 'NN')]"
56,Cover for On the Ice with...Mario Lemieux,"[('cover', 'NN'), ('for', 'IN'), ('on', 'IN'), ('the', 'DT'), ('ice', 'NN'), ('with', 'IN'), ('...', ':'), ('mario', 'NN'), ('lemieux', 'NN')]"
57,"Load image into Gallery viewer, Budget friendly tsmine broom holder organizers and storage stainless steel mop holder wall mounted garden tool heavy duty rack hooks for garage home kitchen bathroom closet and shed 3 racks 4 hooks","[('load', 'NN'), ('image', 'NN'), ('into', 'IN'), ('gallery', 'NN'), ('viewer', 'NN'), (',', ','), ('budget', 'NN'), ('friendly', 'JJ'), ('tsmine', 'NN'), ('broom', 'NN'), ('holder', 'NN'), ('organizers', 'NNS'), ('and', 'CC'), ('storage', 'NN'), ('stainless', 'NN'), ('steel', 'NN'), ('mop', 'NNS'), ('holder', 'VBP'), ('wall', 'NN'), ('mounted', 'VBN'), ('garden', 'JJ'), ('tool', 'NN'), ('heavy', 'JJ'), ('duty', 'NN'), ('rack', 'NN'), ('hooks', 'NN'), ('for', 'IN'), ('garage', 'NN'), ('home', 'NN'), ('kitchen', 'NN'), ('bathroom', 'NN'), ('closet', 'NN'), ('and', 'CC'), ('shed', 'VBD'), ('3', 'CD'), ('racks', 'NNS'), ('4', 'CD'), ('hooks', 'NNS')]"
58,radiant orchid wedding cake,"[('radiant', 'JJ'), ('orchid', 'NN'), ('wedding', 'VBG'), ('cake', 'NN')]"
59,KastKing SuperPower Braided Line Freshwater& Saltwater Lure Fishing Line 2187yds,"[('kastking', 'VBG'), ('superpower', 'NN'), ('braided', 'VBD'), ('line', 'NN'), ('freshwater', 'NN'), ('&', 'CC'), ('saltwater', 'NN'), ('lure', 'NN'), ('fishing', 'VBG'), ('line', 'NN'), ('2187yds', 'CD')]"
60,all natural peanut butter nutrition,"[('all', 'DT'), ('natural', 'JJ'), ('peanut', 'NN'), ('butter', 'NN'), ('nutrition', 'NN')]"
61,AUT 30 RK4510 01,"[('aut', 'RB'), ('30', 'CD'), ('rk4510', 'NNS'), ('01', 'CD')]"
62,Paul Gauguin - Self-Portrait at the Easel,"[('paul', 'NN'), ('gauguin', 'NN'), ('-', ':'), ('self-portrait', 'NN'), ('at', 'IN'), ('the', 'DT'), ('easel', 'NN')]"
63,"Soup Can Tomato Colored, 1968 by Andy Warhol Art Print Offset Lithograph 24x36","[('soup', 'NN'), ('can', 'MD'), ('tomato', 'VB'), ('colored', 'VBN'), (',', ','), ('1968', 'CD'), ('by', 'IN'), ('andy', 'JJ'), ('warhol', 'NNS'), ('art', 'VBP'), ('print', 'NN'), ('offset', 'NN'), ('lithograph', 'NN'), ('24x36', 'CD')]"
64,Macbeth Character Development Chart 20 Surprising Shakespeare Facts Infographic And Book,"[('macbeth', 'NNS'), ('character', 'NN'), ('development', 'NN'), ('chart', 'NN'), ('20', 'CD'), ('surprising', 'JJ'), ('shakespeare', 'NN'), ('facts', 'NNS'), ('infographic', 'JJ'), ('and', 'CC'), ('book', 'NN')]"
65,East Coast Mommy: Magic Reindeer Food,"[('east', 'JJ'), ('coast', 'NN'), ('mommy', 'NN'), (':', ':'), ('magic', 'JJ'), ('reindeer', 'NN'), ('food', 'NN')]"
66,Dinning furniture for sale,"[('dinning', 'VBG'), ('furniture', 'NN'), ('for', 'IN'), ('sale', 'NN')]"
67,Great room fire place hardwood floors looking out to private courtyard,"[('great', 'JJ'), ('room', 'NN'), ('fire', 'NN'), ('place', 'NN'), ('hardwood', 'NN'), ('floors', 'NNS'), ('looking', 'VBG'), ('out', 'IN'), ('to', 'TO'), ('private', 'JJ'), ('courtyard', 'NN')]"
68,Koko Head Oaho Hawaii Stock Footage,"[('koko', 'NNS'), ('head', 'VBP'), ('oaho', 'IN'), ('hawaii', 'JJ'), ('stock', 'NN'), ('footage', 'NN')]"
69,Logans Run  Import Anglais,"[('logans', 'NNS'), ('run', 'VBP'), ('import', 'NN'), ('anglais', 'NN')]"
70,Chewies Mini bones with Rumen 125 g,"[('chewies', 'NNS'), ('mini', 'VBP'), ('bones', 'NNS'), ('with', 'IN'), ('rumen', 'NNS'), ('125', 'CD'), ('g', 'NN')]"
71,‪1849 Condos at Canyon Lodge‬,"[('\u202a1849', 'JJ'), ('condos', 'NNS'), ('at', 'IN'), ('canyon', 'NN'), ('lodge\u202c', 'NN')]"
72,"2015 Harley-Davidson Softail Breakout at Southwest Cycle, Cape Coral, FL 33909","[('2015', 'CD'), ('harley-davidson', 'JJ'), ('softail', 'NN'), ('breakout', 'NN'), ('at', 'IN'), ('southwest', 'JJ'), ('cycle', 'NN'), (',', ','), ('cape', 'NN'), ('coral', 'NN'), (',', ','), ('fl', 'VBZ'), ('33909', 'CD')]"
73,"The Edge of Evolution - The Search for the Limits of Darwinism by Behe, Michael J. (2008) Paperback - 01/01/2008","[('the', 'DT'), ('edge', 'NN'), ('of', 'IN'), ('evolution', 'NN'), ('-', ':'), ('the', 'DT'), ('search', 'NN'), ('for', 'IN'), ('the', 'DT'), ('limits', 'NNS'), ('of', 'IN'), ('darwinism', 'NN'), ('by', 'IN'), ('behe', 'NN'), (',', ','), ('michael', 'JJ'), ('j', 'NN'), ('.', '.'), ('(', '('), ('2008', 'CD'), (')', ')'), ('paperback', 'NN'), ('-', ':'), ('01/01/2008', 'CD')]"
74,"2 bedroom terraced house for sale - Maxwell Way, Burngreave","[('2', 'CD'), ('bedroom', 'NN'), ('terraced', 'VBN'), ('house', 'NN'), ('for', 'IN'), ('sale', 'NN'), ('-', ':'), ('maxwell', 'NN'), ('way', 'NN'), (',', ','), ('burngreave', 'VBP')]"
75,George Peabody Library,"[('george', 'NN'), ('peabody', 'NN'), ('library', 'JJ')]"
76,Turkey Mountain Via Yellow and Green Trails Map,"[('turkey', 'NN'), ('mountain', 'NN'), ('via', 'IN'), ('yellow', 'NN'), ('and', 'CC'), ('green', 'JJ'), ('trails', 'NNS'), ('map', 'NN')]"
77,Couple Tracker (4),"[('couple', 'NN'), ('tracker', 'NN'), ('(', '('), ('4', 'CD'), (')', ')')]"
78,"alice + olivia Large Crystals Clutch (1 410 PLN) ❤ liked on Polyvore featuring bags, handbags, clutches, purses, bolsas, red, handbags purses, beaded hand bags, beaded purse and red purse","[('alice', 'NN'), ('+', 'NN'), ('olivia', 'VBP'), ('large', 'JJ'), ('crystals', 'NNS'), ('clutch', 'VBP'), ('(', '('), ('1', 'CD'), ('410', 'CD'), ('pln', 'NN'), (')', ')'), ('❤', 'NN'), ('liked', 'VBN'), ('on', 'IN'), ('polyvore', 'NN'), ('featuring', 'NN'), ('bags', 'NNS'), (',', ','), ('handbags', 'NNS'), (',', ','), ('clutches', 'NNS'), (',', ','), ('purses', 'NNS'), (',', ','), ('bolsas', 'NN'), (',', ','), ('red', 'JJ'), (',', ','), ('handbags', 'JJ'), ('purses', 'NNS'), (',', ','), ('beaded', 'VBD'), ('hand', 'NN'), ('bags', 'NNS'), (',', ','), ('beaded', 'VBD'), ('purse', 'NN'), ('and', 'CC'), ('red', 'JJ'), ('purse', 'NN')]"
79,http://arbia.com.ar/imagenes/arbia_n.jpg,"[('http', 'NN'), (':', ':'), ('//arbia.com.ar/imagenes/arbia_n.jpg', 'NN')]"
80,print of painting of autumn scene of man offering woman grapes,"[('print', 'NN'), ('of', 'IN'), ('painting', 'NN'), ('of', 'IN'), ('autumn', 'JJ'), ('scene', 'NN'), ('of', 'IN'), ('man', 'NN'), ('offering', 'VBG'), ('woman', 'NN'), ('grapes', 'NNS')]"
81,"Bisley hosted the shooting competition the last time England staged the Commonwealth Games in Manchester in 2002, but Birmingham were not prepared to invest money in refurbishing it for 2022 ©Getty Images","[('bisley', 'NN'), ('hosted', 'VBD'), ('the', 'DT'), ('shooting', 'VBG'), ('competition', 'NN'), ('the', 'DT'), ('last', 'JJ'), ('time', 'NN'), ('england', 'NN'), ('staged', 'VBD'), ('the', 'DT'), ('commonwealth', 'NN'), ('games', 'NNS'), ('in', 'IN'), ('manchester', 'NN'), ('in', 'IN'), ('2002', 'CD'), (',', ','), ('but', 'CC'), ('birmingham', 'NNS'), ('were', 'VBD'), ('not', 'RB'), ('prepared', 'VBN'), ('to', 'TO'), ('invest', 'VB'), ('money', 'NN'), ('in', 'IN'), ('refurbishing', 'VBG'), ('it', 'PRP'), ('for', 'IN'), ('2022', 'CD'), ('©getty', 'JJ'), ('images', 'NNS')]"
82,Brunette Gangbanged in Workshop,"[('brunette', 'NN'), ('gangbanged', 'VBN'), ('in', 'IN'), ('workshop', 'NN')]"
83,School-Based Gatekeeper Training to Prevent Adolescent Suicide,"[('school-based', 'JJ'), ('gatekeeper', 'NN'), ('training', 'NN'), ('to', 'TO'), ('prevent', 'VB'), ('adolescent', 'JJ'), ('suicide', 'NN')]"
84,Hrithik Roshan: I made doctors to sing while a hole was drilled into my skull,"[('hrithik', 'NN'), ('roshan', 'NN'), (':', ':'), ('i', 'NN'), ('made', 'VBD'), ('doctors', 'NNS'), ('to', 'TO'), ('sing', 'VBG'), ('while', 'IN'), ('a', 'DT'), ('hole', 'NN'), ('was', 'VBD'), ('drilled', 'VBN'), ('into', 'IN'), ('my', 'PRP$'), ('skull', 'NN')]"
85,Islam At White House: Watch Released Deserter Bowe Bergdahl's Father Praise Allah Before Being Hugged By Barack Hussein Obama,"[('islam', 'NN'), ('at', 'IN'), ('white', 'JJ'), ('house', 'NN'), (':', ':'), ('watch', 'NN'), ('released', 'VBN'), ('deserter', 'NN'), ('bowe', 'NN'), ('bergdahl', 'NN'), (""'s"", 'POS'), ('father', 'NN'), ('praise', 'NN'), ('allah', 'NN'), ('before', 'IN'), ('being', 'VBG'), ('hugged', 'VBN'), ('by', 'IN'), ('barack', 'NN'), ('hussein', 'NN'), ('obama', 'NN')]"
86,Busy Bee Weekly Desk Pad By Quill & Fox,"[('busy', 'JJ'), ('bee', 'JJ'), ('weekly', 'JJ'), ('desk', 'NN'), ('pad', 'NN'), ('by', 'IN'), ('quill', 'NN'), ('&', 'CC'), ('fox', 'NN')]"
87,Morning light on Ponderosa Pine in the Uncompahgre Wilderness,"[('morning', 'NN'), ('light', 'NN'), ('on', 'IN'), ('ponderosa', 'JJ'), ('pine', 'NN'), ('in', 'IN'), ('the', 'DT'), ('uncompahgre', 'JJ'), ('wilderness', 'NN')]"
88,"Unorthodox Jukebox [PA] by Bruno Mars (CD, Dec-2012, Atlantic (Label))","[('unorthodox', 'JJ'), ('jukebox', 'NN'), ('[', 'NNP'), ('pa', 'NN'), (']', 'NN'), ('by', 'IN'), ('bruno', 'NN'), ('mars', 'NNS'), ('(', '('), ('cd', 'NN'), (',', ','), ('dec-2012', 'JJ'), (',', ','), ('atlantic', 'JJ'), ('(', '('), ('label', 'NN'), (')', ')'), (')', ')')]"
89,Shorts Levis Cool Pocket,"[('shorts', 'NNS'), ('levis', 'VBP'), ('cool', 'JJ'), ('pocket', 'NN')]"
90,"Clipart Illustration of an Orange Grunge Music Background Of Speakers, Turn Tables And Waves by L2studio","[('clipart', 'JJ'), ('illustration', 'NN'), ('of', 'IN'), ('an', 'DT'), ('orange', 'NN'), ('grunge', 'NN'), ('music', 'NN'), ('background', 'NN'), ('of', 'IN'), ('speakers', 'NNS'), (',', ','), ('turn', 'NN'), ('tables', 'NNS'), ('and', 'CC'), ('waves', 'NNS'), ('by', 'IN'), ('l2studio', 'NN')]"
