,original prompts,pos tagged prompt
28,"Mayor Sylvester Turner speaks at the Microsoft IoT in Action Solution Builder Conference Tuesday, April 16, 2019, in Houston.","[('mayor', 'NN'), ('sylvester', 'NNP'), ('turner', 'NN'), ('speaks', 'VBZ'), ('at', 'IN'), ('the', 'DT'), ('microsoft', 'NNP'), ('iot', 'NN'), ('in', 'IN'), ('action', 'NN'), ('solution', 'NN'), ('builder', 'NN'), ('conference', 'NN'), ('tuesday', 'NNP'), (',', ','), ('april', 'NNP'), ('16', 'CD'), (',', ','), ('2019', 'CD'), (',', ','), ('in', 'IN'), ('houston', 'NNP'), ('.', '.')]"
29,1530mm nylofor 3d wire mesh fence panels ral 6005 pvc for 3d fence,"[('1530', 'CD'), ('mm', 'NN'), ('nylofor', 'NNP'), ('3d', 'NN'), ('wire', 'NN'), ('mesh', 'NN'), ('fence', 'NN'), ('panels', 'NNS'), ('ral', 'NN'), ('6005', 'CD'), ('pvc', 'NN'), ('for', 'IN'), ('3d', 'CD'), ('fence', 'NN')]"
30,Basketball Double-Header: Loughborough Riders Men & Leicester Riders Women tickets,"[('basketball', 'NN'), ('double', 'JJ'), ('-', 'HYPH'), ('header', 'NN'), (':', ':'), ('loughborough', 'NNP'), ('riders', 'NNS'), ('men', 'NNS'), ('&', 'CC'), ('leicester', 'NNP'), ('riders', 'NNS'), ('women', 'NNS'), ('tickets', 'NNS')]"
31,Stuart Weitzman 75NUDISTTRADITIONAL Night Time Naked Sandals,"[('stuart', 'NNP'), ('weitzman', 'NNP'), ('75', 'CD'), ('nudisttraditional', 'JJ'), ('night', 'NN'), ('time', 'NN'), ('naked', 'JJ'), ('sandals', 'NNS')]"
32,Citigems 18K Elistar Diamond Ring,"[('citigems', 'NNS'), ('18', 'CD'), ('k', 'CD'), ('elistar', 'JJ'), ('diamond', 'NN'), ('ring', 'NN')]"
33,b8e73788f9 339 Best ray ban highstreet images,"[('b8e73788f9', 'NNP'), ('339', 'CD'), ('best', 'JJS'), ('ray', 'NN'), ('ban', 'NN'), ('highstreet', 'NN'), ('images', 'NNS')]"
34, Scooby Doo Toddler / Child Costume,"[('scooby', 'NN'), ('doo', 'NNP'), ('toddler', 'NN'), ('/', ','), ('child', 'NN'), ('costume', 'NN')]"
35,happy independence day india map flags candle ornaments vector illustration Ilustracja,"[('happy', 'JJ'), ('independence', 'NN'), ('day', 'NN'), ('india', 'NNP'), ('map', 'NN'), ('flags', 'NNS'), ('candle', 'NN'), ('ornaments', 'NNS'), ('vector', 'NN'), ('illustration', 'NN'), ('ilustracja', 'NN')]"
36,"Kea biting controller with Spy Kea in foreground, New Zealand. © BBC/John Downer Productions/Matthew Goodman","[('kea', 'NNP'), ('biting', 'NN'), ('controller', 'NN'), ('with', 'IN'), ('spy', 'NN'), ('kea', 'NN'), ('in', 'IN'), ('foreground', 'NN'), (',', ','), ('new', 'NNP'), ('zealand', 'NNP'), ('.', '.'), ('©', 'NFP'), ('bbc', 'NNP'), ('/', ','), ('john', 'NNP'), ('downer', 'NNP'), ('productions', 'NNS'), ('/', ','), ('matthew', 'NNP'), ('goodman', 'NNP')]"
37,Women Double Beads Bracelet Fashion Simple Gold Color Pendant Jewelry,"[('women', 'NNS'), ('double', 'JJ'), ('beads', 'NNS'), ('bracelet', 'NN'), ('fashion', 'NN'), ('simple', 'JJ'), ('gold', 'NN'), ('color', 'NN'), ('pendant', 'NN'), ('jewelry', 'NN')]"
38,"761 S 9th Street UNIT 3 Philadelphia, PA 19147","[('761', 'CD'), ('s', 'POS'), ('9th', 'NNP'), ('street', 'NN'), ('unit', 'NN'), ('3', 'CD'), ('philadelphia', 'NNP'), (',', ','), ('pa', 'NNP'), ('19147', 'CD')]"
39,Sassy Bear  Long Sleeve Tee,"[('sassy', 'JJ'), ('bear', 'NN'), ('long', 'JJ'), ('sleeve', 'NN'), ('tee', 'NN')]"
40,10 Terrifying Comic Supervillains That Gave You Nightmares,"[('10', 'CD'), ('terrifying', 'JJ'), ('comic', 'NN'), ('supervillains', 'NNS'), ('that', 'WDT'), ('gave', 'VBD'), ('you', 'PRP'), ('nightmares', 'NNS')]"
41,Children lunch bag fashion Avengers League cartoon printing thermo food insulated bag casual travel picnic bag thermal lunch box,"[('children', 'NNS'), ('lunch', 'NN'), ('bag', 'NN'), ('fashion', 'NN'), ('avengers', 'NNS'), ('league', 'NN'), ('cartoon', 'NN'), ('printing', 'NN'), ('thermo', 'NN'), ('food', 'NN'), ('insulated', 'VBN'), ('bag', 'NN'), ('casual', 'JJ'), ('travel', 'NN'), ('picnic', 'NN'), ('bag', 'NN'), ('thermal', 'JJ'), ('lunch', 'NN'), ('box', 'NN')]"
42,Slow Motion Butterfly Owl Caligo Eurilochus perched on leaf n flying around - stock footage,"[('slow', 'JJ'), ('motion', 'NN'), ('butterfly', 'NN'), ('owl', 'NN'), ('caligo', 'NN'), ('eurilochus', 'NN'), ('perched', 'VBN'), ('on', 'IN'), ('leaf', 'NN'), ('n', 'CC'), ('flying', 'VBG'), ('around', 'IN'), ('-', 'HYPH'), ('stock', 'NN'), ('footage', 'NN')]"
43,The picturesque landscape of the night city and the river with the reflections of tall houses on the water against - Stock Image,"[('the', 'DT'), ('picturesque', 'JJ'), ('landscape', 'NN'), ('of', 'IN'), ('the', 'DT'), ('night', 'NN'), ('city', 'NN'), ('and', 'CC'), ('the', 'DT'), ('river', 'NN'), ('with', 'IN'), ('the', 'DT'), ('reflections', 'NNS'), ('of', 'IN'), ('tall', 'JJ'), ('houses', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('water', 'NN'), ('against', 'IN'), ('-', 'HYPH'), ('stock', 'NN'), ('image', 'NN')]"
44,Stock Photo: Passports,"[('stock', 'NN'), ('photo', 'NN'), (':', ':'), ('passports', 'NNS')]"
45,Beautiful Calming Paint Colors For Bedrooms,"[('beautiful', 'JJ'), ('calming', 'VBG'), ('paint', 'NN'), ('colors', 'NNS'), ('for', 'IN'), ('bedrooms', 'NNS')]"
46,Black Long Sleeves Lace-up Design Hoodie,"[('black', 'JJ'), ('long', 'JJ'), ('sleeves', 'NNS'), ('lace', 'NN'), ('-', 'HYPH'), ('up', 'RP'), ('design', 'NN'), ('hoodie', 'NN')]"
47,"Zhangjiajie, China, 2018","[('zhangjiajie', 'NNP'), (',', ','), ('china', 'NNP'), (',', ','), ('2018', 'CD')]"
48,"Life, The Universe And Everything (1417618167) by Adams, Douglas","[('life', 'NN'), (',', ','), ('the', 'DT'), ('universe', 'NN'), ('and', 'CC'), ('everything', 'NN'), ('(', '-LRB-'), ('1417618167', 'CD'), (')', '-RRB-'), ('by', 'IN'), ('adams', 'NNP'), (',', ','), ('douglas', 'NNP')]"
49,"""""""""""""""LEMONS"""""""" by franceee ❤ liked on Polyvore featuring Michael Kors, Alice + Olivia, Casetify, Kate Spade, Chinese Laundry and Universal Lighting and Decor""""""","[('""', '``'), ('""', '``'), ('""', '``'), ('""', ""''""), ('""', '``'), ('""', ""''""), ('""', '``'), ('lemons', 'NNS'), ('""', ""''""), ('""', ""''""), ('""', ""''""), ('""', '``'), ('by', 'IN'), ('franceee', 'FW'), ('❤', 'NFP'), ('liked', 'VBN'), ('on', 'IN'), ('polyvore', 'FW'), ('featuring', 'VBG'), ('michael', 'NNP'), ('kors', 'NNPS'), (',', ','), ('alice', 'NN'), ('+', 'SYM'), ('olivia', 'NN'), (',', ','), ('casetify', 'FW'), (',', ','), ('kate', 'NNP'), ('spade', 'NN'), (',', ','), ('chinese', 'JJ'), ('laundry', 'NN'), ('and', 'CC'), ('universal', 'JJ'), ('lighting', 'NN'), ('and', 'CC'), ('decor', 'NN'), ('""', ""''""), ('""', ""''""), ('""', ""''"")]"
50,Sysoft Years Badge,"[('sysoft', 'JJ'), ('years', 'NNS'), ('badge', 'NN')]"
51,Essay linking words introduction,"[('essay', 'NN'), ('linking', 'VBG'), ('words', 'NNS'), ('introduction', 'NN')]"
52,Cats On Strike Edit 3 by Leah Saulnier The Painting Maniac,"[('cats', 'NNS'), ('on', 'IN'), ('strike', 'NN'), ('edit', 'NN'), ('3', 'CD'), ('by', 'IN'), ('leah', 'NNP'), ('saulnier', 'NNP'), ('the', 'DT'), ('painting', 'NN'), ('maniac', 'NN')]"
53,The article as it originally appeared.,"[('the', 'DT'), ('article', 'NN'), ('as', 'IN'), ('it', 'PRP'), ('originally', 'RB'), ('appeared', 'VBD'), ('.', '.')]"
54,Yin and Yang,"[('yin', 'NNP'), ('and', 'CC'), ('yang', 'NNP')]"
55,A large black and white checker floor,"[('a', 'DT'), ('large', 'JJ'), ('black', 'JJ'), ('and', 'CC'), ('white', 'JJ'), ('checker', 'NN'), ('floor', 'NN')]"
56,Cover for On the Ice with...Mario Lemieux,"[('cover', 'VB'), ('for', 'IN'), ('on', 'IN'), ('the', 'DT'), ('ice', 'NN'), ('with', 'IN'), ('...', ','), ('mario', 'NNP'), ('lemieux', 'NNP')]"
57,"Load image into Gallery viewer, Budget friendly tsmine broom holder organizers and storage stainless steel mop holder wall mounted garden tool heavy duty rack hooks for garage home kitchen bathroom closet and shed 3 racks 4 hooks","[('load', 'VB'), ('image', 'NN'), ('into', 'IN'), ('gallery', 'NN'), ('viewer', 'NN'), (',', ','), ('budget', 'NN'), ('friendly', 'JJ'), ('tsmine', 'NN'), ('broom', 'NN'), ('holder', 'NN'), ('organizers', 'NNS'), ('and', 'CC'), ('storage', 'NN'), ('stainless', 'JJ'), ('steel', 'NN'), ('mop', 'NN'), ('holder', 'NN'), ('wall', 'NN'), ('mounted', 'VBN'), ('garden', 'NN'), ('tool', 'NN'), ('heavy', 'JJ'), ('duty', 'NN'), ('rack', 'NN'), ('hooks', 'NNS'), ('for', 'IN'), ('garage', 'NN'), ('home', 'NN'), ('kitchen', 'NN'), ('bathroom', 'NN'), ('closet', 'NN'), ('and', 'CC'), ('shed', 'VB'), ('3', 'CD'), ('racks', 'NNS'), ('4', 'CD'), ('hooks', 'NNS')]"
58,radiant orchid wedding cake,"[('radiant', 'JJ'), ('orchid', 'NN'), ('wedding', 'NN'), ('cake', 'NN')]"
59,KastKing SuperPower Braided Line Freshwater& Saltwater Lure Fishing Line 2187yds,"[('kastking', 'VBG'), ('superpower', 'NN'), ('braided', 'VBN'), ('line', 'NN'), ('freshwater&', 'NN'), ('saltwater', 'NN'), ('lure', 'NN'), ('fishing', 'NN'), ('line', 'NN'), ('2187yds', 'NNS')]"
60,all natural peanut butter nutrition,"[('all', 'DT'), ('natural', 'JJ'), ('peanut', 'NN'), ('butter', 'NN'), ('nutrition', 'NN')]"
61,AUT 30 RK4510 01,"[('aut', 'NNP'), ('30', 'CD'), ('rk4510', 'NN'), ('01', 'CD')]"
62,Paul Gauguin - Self-Portrait at the Easel,"[('paul', 'NNP'), ('gauguin', 'NNP'), ('-', 'HYPH'), ('self', 'NN'), ('-', 'HYPH'), ('portrait', 'NN'), ('at', 'IN'), ('the', 'DT'), ('easel', 'NN')]"
63,"Soup Can Tomato Colored, 1968 by Andy Warhol Art Print Offset Lithograph 24x36","[('soup', 'NN'), ('can', 'MD'), ('tomato', 'NN'), ('colored', 'VBN'), (',', ','), ('1968', 'CD'), ('by', 'IN'), ('andy', 'NNP'), ('warhol', 'NNP'), ('art', 'NN'), ('print', 'NN'), ('offset', 'NN'), ('lithograph', 'NN'), ('24x36', 'CD')]"
64,Macbeth Character Development Chart 20 Surprising Shakespeare Facts Infographic And Book,"[('macbeth', 'NN'), ('character', 'NN'), ('development', 'NN'), ('chart', 'NN'), ('20', 'CD'), ('surprising', 'JJ'), ('shakespeare', 'NN'), ('facts', 'NNS'), ('infographic', 'NN'), ('and', 'CC'), ('book', 'NN')]"
65,East Coast Mommy: Magic Reindeer Food,"[('east', 'JJ'), ('coast', 'NN'), ('mommy', 'NN'), (':', ':'), ('magic', 'NN'), ('reindeer', 'NN'), ('food', 'NN')]"
66,Dinning furniture for sale,"[('dinning', 'VBG'), ('furniture', 'NN'), ('for', 'IN'), ('sale', 'NN')]"
67,Great room fire place hardwood floors looking out to private courtyard,"[('great', 'JJ'), ('room', 'NN'), ('fire', 'NN'), ('place', 'NN'), ('hardwood', 'NN'), ('floors', 'NNS'), ('looking', 'VBG'), ('out', 'RP'), ('to', 'IN'), ('private', 'JJ'), ('courtyard', 'NN')]"
68,Koko Head Oaho Hawaii Stock Footage,"[('koko', 'NNP'), ('head', 'NN'), ('oaho', 'NN'), ('hawaii', 'NNP'), ('stock', 'NN'), ('footage', 'NN')]"
69,Logans Run  Import Anglais,"[('logans', 'NNS'), ('run', 'VBP'), ('import', 'NN'), ('anglais', 'NNP')]"
70,Chewies Mini bones with Rumen 125 g,"[('chewies', 'VBZ'), ('mini', 'NN'), ('bones', 'NNS'), ('with', 'IN'), ('rumen', 'NN'), ('125', 'CD'), ('g', 'NNS')]"
71,‪1849 Condos at Canyon Lodge‬,"[('\u202a', 'NNP'), ('1849', 'CD'), ('condos', 'NNS'), ('at', 'IN'), ('canyon', 'NNP'), ('lodge', 'NN'), ('\u202c', 'NNP')]"
72,"2015 Harley-Davidson Softail Breakout at Southwest Cycle, Cape Coral, FL 33909","[('2015', 'CD'), ('harley', 'NNP'), ('-', 'HYPH'), ('davidson', 'NNP'), ('softail', 'NNP'), ('breakout', 'NN'), ('at', 'IN'), ('southwest', 'NNP'), ('cycle', 'NN'), (',', ','), ('cape', 'NN'), ('coral', 'NN'), (',', ','), ('fl', 'NNP'), ('33909', 'CD')]"
73,"The Edge of Evolution - The Search for the Limits of Darwinism by Behe, Michael J. (2008) Paperback - 01/01/2008","[('the', 'DT'), ('edge', 'NN'), ('of', 'IN'), ('evolution', 'NN'), ('-', ','), ('the', 'DT'), ('search', 'NN'), ('for', 'IN'), ('the', 'DT'), ('limits', 'NNS'), ('of', 'IN'), ('darwinism', 'NN'), ('by', 'IN'), ('behe', 'NNP'), (',', ','), ('michael', 'NNP'), ('j.', 'NNP'), ('(', '-LRB-'), ('2008', 'CD'), (')', '-RRB-'), ('paperback', 'NN'), ('-', ','), ('01/01/2008', 'CD')]"
74,"2 bedroom terraced house for sale - Maxwell Way, Burngreave","[('2', 'CD'), ('bedroom', 'NN'), ('terraced', 'VBN'), ('house', 'NN'), ('for', 'IN'), ('sale', 'NN'), ('-', 'HYPH'), ('maxwell', 'NNP'), ('way', 'NN'), (',', ','), ('burngreave', 'NN')]"
75,George Peabody Library,"[('george', 'NNP'), ('peabody', 'NNP'), ('library', 'NN')]"
76,Turkey Mountain Via Yellow and Green Trails Map,"[('turkey', 'NN'), ('mountain', 'NN'), ('via', 'IN'), ('yellow', 'JJ'), ('and', 'CC'), ('green', 'JJ'), ('trails', 'NNS'), ('map', 'NN')]"
77,Couple Tracker (4),"[('couple', 'NN'), ('tracker', 'NN'), ('(', '-LRB-'), ('4', 'CD'), (')', '-RRB-')]"
78,"alice + olivia Large Crystals Clutch (1 410 PLN) ❤ liked on Polyvore featuring bags, handbags, clutches, purses, bolsas, red, handbags purses, beaded hand bags, beaded purse and red purse","[('alice', 'NN'), ('+', 'SYM'), ('olivia', 'NNP'), ('large', 'JJ'), ('crystals', 'NNS'), ('clutch', 'NN'), ('(', '-LRB-'), ('1', 'CD'), ('410', 'CD'), ('pln', 'NN'), (')', '-RRB-'), ('❤', 'NFP'), ('liked', 'VBN'), ('on', 'IN'), ('polyvore', 'NN'), ('featuring', 'VBG'), ('bags', 'NNS'), (',', ','), ('handbags', 'NNS'), (',', ','), ('clutches', 'NNS'), (',', ','), ('purses', 'NNS'), (',', ','), ('bolsas', 'NNS'), (',', ','), ('red', 'NN'), (',', ','), ('handbags', 'NNS'), ('purses', 'NNS'), (',', ','), ('beaded', 'VBN'), ('hand', 'NN'), ('bags', 'NNS'), (',', ','), ('beaded', 'JJ'), ('purse', 'NN'), ('and', 'CC'), ('red', 'JJ'), ('purse', 'NN')]"
79,http://arbia.com.ar/imagenes/arbia_n.jpg,"[('http://arbia.com.ar/imagenes/arbia_n.jpg', 'ADD')]"
80,print of painting of autumn scene of man offering woman grapes,"[('print', 'NN'), ('of', 'IN'), ('painting', 'NN'), ('of', 'IN'), ('autumn', 'NN'), ('scene', 'NN'), ('of', 'IN'), ('man', 'NN'), ('offering', 'VBG'), ('woman', 'NN'), ('grapes', 'NNS')]"
81,"Bisley hosted the shooting competition the last time England staged the Commonwealth Games in Manchester in 2002, but Birmingham were not prepared to invest money in refurbishing it for 2022 ©Getty Images","[('bisley', 'NNP'), ('hosted', 'VBD'), ('the', 'DT'), ('shooting', 'NN'), ('competition', 'NN'), ('the', 'DT'), ('last', 'JJ'), ('time', 'NN'), ('england', 'NNP'), ('staged', 'VBD'), ('the', 'DT'), ('commonwealth', 'NN'), ('games', 'NNS'), ('in', 'IN'), ('manchester', 'NNP'), ('in', 'IN'), ('2002', 'CD'), (',', ','), ('but', 'CC'), ('birmingham', 'NNP'), ('were', 'VBD'), ('not', 'RB'), ('prepared', 'VBN'), ('to', 'TO'), ('invest', 'VB'), ('money', 'NN'), ('in', 'IN'), ('refurbishing', 'VBG'), ('it', 'PRP'), ('for', 'IN'), ('2022', 'CD'), ('©getty', 'NN'), ('images', 'NNS')]"
82,Brunette Gangbanged in Workshop,"[('brunette', 'NN'), ('gangbanged', 'VBN'), ('in', 'IN'), ('workshop', 'NN')]"
83,School-Based Gatekeeper Training to Prevent Adolescent Suicide,"[('school', 'NN'), ('-', 'HYPH'), ('based', 'VBN'), ('gatekeeper', 'NN'), ('training', 'NN'), ('to', 'TO'), ('prevent', 'VB'), ('adolescent', 'JJ'), ('suicide', 'NN')]"
84,Hrithik Roshan: I made doctors to sing while a hole was drilled into my skull,"[('hrithik', 'NNP'), ('roshan', 'NNP'), (':', ':'), ('i', 'PRP'), ('made', 'VBD'), ('doctors', 'NNS'), ('to', 'TO'), ('sing', 'VB'), ('while', 'IN'), ('a', 'DT'), ('hole', 'NN'), ('was', 'VBD'), ('drilled', 'VBN'), ('into', 'IN'), ('my', 'PRP$'), ('skull', 'NN')]"
85,Islam At White House: Watch Released Deserter Bowe Bergdahl's Father Praise Allah Before Being Hugged By Barack Hussein Obama,"[('islam', 'NNP'), ('at', 'IN'), ('white', 'JJ'), ('house', 'NN'), (':', ':'), ('watch', 'VB'), ('released', 'VBN'), ('deserter', 'NN'), ('bowe', 'NN'), ('bergdahl', 'NNP'), (""'s"", 'POS'), ('father', 'NN'), ('praise', 'VB'), ('allah', 'NNP'), ('before', 'IN'), ('being', 'VBG'), ('hugged', 'VBN'), ('by', 'IN'), ('barack', 'NN'), ('hussein', 'NNP'), ('obama', 'NNP')]"
86,Busy Bee Weekly Desk Pad By Quill & Fox,"[('busy', 'JJ'), ('bee', 'NN'), ('weekly', 'JJ'), ('desk', 'NN'), ('pad', 'NN'), ('by', 'IN'), ('quill', 'NN'), ('&', 'CC'), ('fox', 'NN')]"
87,Morning light on Ponderosa Pine in the Uncompahgre Wilderness,"[('morning', 'NN'), ('light', 'NN'), ('on', 'IN'), ('ponderosa', 'NN'), ('pine', 'NN'), ('in', 'IN'), ('the', 'DT'), ('uncompahgre', 'JJ'), ('wilderness', 'NN')]"
